file_year,category,rank,name,year,high_school,city_state,position,ints,intspergame,intyards,gamesplayed
2019,"defense,interceptions",488,Andre' Hill,Senior,"Washington County (Plymouth, NC)","(Plymouth, NC)","S, WR",6,0.5,125,13
2019,"defense,interceptions",489,Jabez Gorham,Senior,"East Forsyth (Kernersville, NC)","(Kernersville, NC)",CB,6,0.5,44,13
2019,"defense,interceptions",490,Marcellus Reed,Junior,"Palmer Ridge (Monument, CO)","(Monument, CO)","WR, CB",6,0.5,93,13
2019,"defense,interceptions",491,Ian Jackson,Senior,Pelahatchie (MS),(MS),"CB, WR",6,0.5,30,13
2019,"defense,interceptions",492,John Humphrey,Senior,"Muir (Pasadena, CA)","(Pasadena, CA)","CB, WR",6,0.5,12,13
2019,"defense,interceptions",493,Brett Guthrie,Senior,Jersey Shore (PA),(PA),"WR, CB",6,0.5,16,13
2019,"defense,interceptions",494,Nathan Russell,Senior,"Placer (Auburn, CA)","(Auburn, CA)",WR,6,0.5,27,13
2019,"defense,interceptions",495,Dominick Hill,Senior,"Jones (Orlando, FL)","(Orlando, FL)",DB,6,0.5,0,13
2019,"defense,interceptions",496,Javier Taylor,Senior,"Park Crossing (Montgomery, AL)","(Montgomery, AL)","FS, SS",6,0.5,112,13
2019,"defense,interceptions",497,Blake Raphael,Freshman,"Cardinal Gibbons (Raleigh, NC)","(Raleigh, NC)","RB, DB",6,0.5,78,13
2019,"defense,interceptions",498,Montana Lemonious-craig,Senior,Inglewood (CA),(CA),"WR, FS",6,0.5,19,13
2019,"defense,interceptions",499,Tyler Gonzalez,Senior,Alhambra (CA),(CA),"WR, FS",6,0.5,186,13
2019,"defense,interceptions",500,Kason Cimmiyotti,Sophomore,Heppner (OR),(OR),"QB, DB",6,0.5,62,13
2019,"defense,interceptions",351,Justin Stinson,Senior,"Valley Christian (Chandler, AZ)","(Chandler, AZ)","CB, FS",6,0.5,,11
2019,"defense,interceptions",352,Grant Sides,Junior,"St. Stanislaus (Bay St. Louis, MS)","(Bay St. Louis, MS)","FS, OLB",6,0.5,158,11
2019,"defense,interceptions",353,Mason Love,Junior,"Indian Valley (Gnadenhutten, OH)","(Gnadenhutten, OH)","WR, DB",6,0.5,,11
2019,"defense,interceptions",354,Jermaine Witherspoon,Senior,"Killian (Miami, FL)","(Miami, FL)","CB, FS",6,0.5,,11
2019,"defense,interceptions",355,Jeremy Wilcox,Senior,Farmington (UT),(UT),,6,0.5,107,11
2019,"defense,interceptions",356,Kendall Dennis,Senior,Lakeland (FL),(FL),CB,6,0.5,62,11
2019,"defense,interceptions",357,Matthew Mason,Sophomore,Payson (UT),(UT),FS,6,0.5,24,11
2019,"defense,interceptions",358,BRADEN HIMELICK,Senior,Hagerstown (IN),(IN),"WR, FS",6,0.5,100,11
2019,"defense,interceptions",359,Riley Maddox,Junior,"Jackson Prep (Jackson, MS)","(Jackson, MS)","QB, FS",6,0.5,70,11
2019,"defense,interceptions",360,Trevor Crawford,Senior,"Pinnacle (Phoenix, AZ)","(Phoenix, AZ)",SS,6,0.5,37,11
2019,"defense,interceptions",361,Zander McHenry,Sophomore,"Keystone (Knox, PA)","(Knox, PA)","SB, FS",6,0.5,81,11
2019,"defense,interceptions",363,Charles Allen,Senior,Holt (MI),(MI),"WR, CB",6,0.5,90,11
2019,"defense,interceptions",364,Tanner Allen,Junior,Greenwood (IN),(IN),"WR, CB",6,0.5,6,11
2019,"defense,interceptions",365,John Minor,Senior,Coudersport (PA),(PA),"WR, CB",6,0.5,,11
2019,"defense,interceptions",366,Robin Neely,Junior,"Cypress Ranch (Houston, TX)","(Houston, TX)",DB,6,0.5,62,11
2019,"defense,interceptions",367,Tomas Gonzales,Junior,Bloomfield (NM),(NM),"TE, FS",6,0.5,186,11
2019,"defense,interceptions",368,Tabias Brown,Senior,"Lafayette (Oxford, MS)","(Oxford, MS)","WR, DB",6,0.5,41,11
2019,"defense,interceptions",369,Ethan Alegria,Senior,"Sabino (Tucson, AZ)","(Tucson, AZ)","WR, CB",6,0.5,,11
2019,"defense,interceptions",370,Jamarian Hill,Senior,Pittsburg (TX),(TX),"WR, CB",6,0.5,25,11
2019,"defense,interceptions",371,Isaia Faatau,Senior,"Cyprus (Magna, UT)","(Magna, UT)","WR, CB",6,0.5,69,11
2019,"defense,interceptions",372,Boogie Trotter,Junior,"Pearl-Cohn (Nashville, TN)","(Nashville, TN)",DB,6,0.5,90,11
2019,"defense,interceptions",373,Jon'uel Fisher,Senior,"Service (Anchorage, AK)","(Anchorage, AK)","CB, WR",6,0.5,,11
2019,"defense,interceptions",374,Chandler Bower,Senior,Libby (MT),(MT),"WR, DB",6,0.5,37,11
2019,"defense,interceptions",375,John Waugh,Senior,"Cornerstone Christian (Columbiana, AL)","(Columbiana, AL)","TE, DE",6,0.5,,11
2019,"defense,interceptions",376,Zay Davis,Junior,"North Rowan (Spencer, NC)","(Spencer, NC)",FS,6,0.5,146,11
2019,"defense,interceptions",377,Mcquade Canada,Senior,"Wyoming East (New Richmond, WV)","(New Richmond, WV)","S, FS",6,0.5,82,11
2019,"defense,interceptions",378,Ricky Morrison,Senior,Norco (CA),(CA),CB,6,0.5,166,11
2019,"defense,interceptions",379,Elliott Davison,Senior,"Lee (Tyler, TX)","(Tyler, TX)",,6,0.5,27,11
2019,"defense,interceptions",380,Tristen Perry,Senior,Clawson (MI),(MI),"QB, FS",6,0.5,70,11
2019,"defense,interceptions",381,Hassan Aden,Senior,"Pueblo (Tucson, AZ)","(Tucson, AZ)","DB, RB",6,0.5,143,11
2019,"defense,interceptions",382,Nick Lewis,Senior,Vilonia (AR),(AR),"FS, WR",6,0.5,,11
2019,"defense,interceptions",383,Kevin Curry,Senior,"ATI [Abbott RVT/Immaculate] (Danbury, CT)","(Danbury, CT)","WR, CB",6,0.5,68,11
2019,"defense,interceptions",384,Dawson Filip,Junior,"Southwood (Wabash, IN)","(Wabash, IN)","WR, SS",6,0.5,99,11
2019,"defense,interceptions",385,Seth Sperger,Senior,"Faith Christian (Arvada, CO)","(Arvada, CO)","CB, WR",6,0.5,52,11
2019,"defense,interceptions",386,Clem Mccullough,Sophomore,"St. Edward (Elgin, IL)","(Elgin, IL)","WR, FS",6,0.5,56,11
2019,"defense,interceptions",387,Jovoni Borbon,Senior,"Buena (Sierra Vista, AZ)","(Sierra Vista, AZ)","FS, QB",6,0.5,210,11
2019,"defense,interceptions",388,Jake Tirone,Senior,"Ramapo (Franklin Lakes, NJ)","(Franklin Lakes, NJ)","CB, WR",6,0.5,40,11
2019,"defense,interceptions",389,Lucius Alexander,Senior,"North Putnam (Roachdale, IN)","(Roachdale, IN)","WR, SS",6,0.5,91,11
2019,"defense,interceptions",390,Dominic Magliocco,Senior,"Montour (McKees Rocks, PA)","(McKees Rocks, PA)","WR, DB",6,0.5,60,11
2019,"defense,interceptions",391,Shakari Denson,Junior,Claxton (GA),(GA),"WR, CB",6,0.5,217,11
2019,"defense,interceptions",392,Keegan Zdybel,Junior,Slater (MO),(MO),"QB, RB",6,0.5,,11
2019,"defense,interceptions",393,Dominic Zepherin,Junior,"St. Thomas More (Lafayette, LA)","(Lafayette, LA)","WR, CB",6,0.5,99,11
2019,"defense,interceptions",394,Brady Russell,Junior,"Sandy Valley (Magnolia, OH)","(Magnolia, OH)","WR, CB",6,0.5,80,11
2019,"defense,interceptions",395,William Evans,Senior,"Florida A&M (Tallahassee, FL)","(Tallahassee, FL)","S, LB",6,0.5,,11
2019,"defense,interceptions",396,Brandon Brown,Senior,"Greensburg Central Catholic (Greensburg, PA)","(Greensburg, PA)","WR, CB",6,0.5,20,11
2019,"defense,interceptions",397,Jack Hipchen,Senior,"Fremd (Palatine, IL)","(Palatine, IL)","WR, DB",6,0.5,,11
2019,"defense,interceptions",398,Rocco Cillino,Senior,Westerly (RI),(RI),"SS, RB",6,0.5,35,11
2019,"defense,interceptions",399,Jaylen Perry,Senior,Bunn (NC),(NC),"RB, CB",6,0.5,,11
2019,"defense,interceptions",400,Kyle Hyzy,Senior,Wilton (CT),(CT),"WR, OLB",6,0.5,,11
2019,"defense,interceptions",401,Kyle Hyzy,Senior,Wilton (CT),(CT),"WR, OLB",6,0.5,,11
2019,"defense,interceptions",402,Saul Delarosa,Junior,Georgetown (TX),(TX),FS,6,0.5,66,11
2019,"defense,interceptions",403,Devin Bowling,Sophomore,Benson (AZ),(AZ),"RB, OLB",6,0.5,268,11
2019,"defense,interceptions",404,Charlie Raetzman,Senior,"Salpointe Catholic (Tucson, AZ)","(Tucson, AZ)",DB,6,0.5,130,11
2019,"defense,interceptions",405,Sam Johnson,Senior,"Dallas Christian (Mesquite, TX)","(Mesquite, TX)","SS, WR",6,0.5,45,11
2019,"defense,interceptions",406,Davon Graham ii,Senior,"Keller Central (Keller, TX)","(Keller, TX)","WR, DB",6,0.5,117,11
2019,"defense,interceptions",407,Matthew Nixon,Freshman,Mize (MS),(MS),"QB, WR",6,0.5,,11
2019,"defense,interceptions",408,Bj Barnes,Senior,Rochester (IN),(IN),"WR, CB",6,0.5,0,11
2019,"defense,interceptions",409,Zayveon Wells,Sophomore,"Lakewood (Sumter, SC)","(Sumter, SC)",RB,6,0.5,244,11
2019,"defense,interceptions",410,Luke Mazowiecki,Senior,"Greensburg Central Catholic (Greensburg, PA)","(Greensburg, PA)","WR, DB",6,0.5,196,11
2019,"defense,interceptions",411,Cameron Portis,Sophomore,Buffalo (MO),(MO),"WR, FS",6,0.5,0,12
2019,"defense,interceptions",412,Tucker Prieskorn,Senior,Bowling Green (KY),(KY),CB,6,0.5,8,12
2019,"defense,interceptions",413,River Brewer,Senior,Hoxie (AR),(AR),SB,6,0.5,97,12
2019,"defense,interceptions",414,Anthony Bowen,Senior,"Oak Grove (Winston-Salem, NC)","(Winston-Salem, NC)","DB, WR",6,0.5,11,12
2019,"defense,interceptions",415,Aaron Espero,Senior,"Inderkum (Sacramento, CA)","(Sacramento, CA)","RB, FS",6,0.5,132,12
2019,"defense,interceptions",416,Isaiah Johnson,Senior,Grants (NM),(NM),"RB, SS",6,0.5,45,12
2019,"defense,interceptions",417,Jelani Whitmore,Senior,"Carter (Rialto, CA)","(Rialto, CA)",,6,0.5,312,12
2019,"defense,interceptions",418,Nathaniel Davis,Senior,"Bradford (Starke, FL)","(Starke, FL)","SS, WR",6,0.5,,12
2019,"defense,interceptions",419,Brandon Mason,Senior,Clovis (NM),(NM),WR,6,0.5,,12
2019,"defense,interceptions",420,Damion Robinson,Junior,Graceville (FL),(FL),ATH,6,0.5,,12
2019,"defense,interceptions",421,Dedric Hall,Junior,"Nature Coast Tech (Brooksville, FL)","(Brooksville, FL)","WR, CB",6,0.5,90,12
2019,"defense,interceptions",422,Isiah Carl,Junior,Chino Hills (CA),(CA),"CB, RB",6,0.5,102,12
2019,"defense,interceptions",423,Juan Setalsingh,Freshman,"KIPP Academy Lynn Collegiate (Lynn, MA)","(Lynn, MA)","QB, DB",6,0.5,35,12
2019,"defense,interceptions",424,John Saunders jr.,Senior,"High Point Christian Academy (High Point, NC)","(High Point, NC)","WR, CB",6,0.5,55,12
2019,"defense,interceptions",425,Javon Jones,Senior,Moore Haven (FL),(FL),WR,6,0.5,59,12
2019,"defense,interceptions",426,Craig Sinclair,Senior,"Bartram Trail (St. Johns, FL)","(St. Johns, FL)",FS,6,0.5,78,12
2019,"defense,interceptions",427,Jordan Scott,Senior,"Citrus Valley (Redlands, CA)","(Redlands, CA)",FS,6,0.5,143,12
2019,"defense,interceptions",428,Alex Duley,Sophomore,Freeland (MI),(MI),"TE, S",6,0.5,40,12
2019,"defense,interceptions",429,Damian Rubio (c),Senior,"San Gorgonio (San Bernardino, CA)","(San Bernardino, CA)","CB, WR",6,0.5,190,12
2019,"defense,interceptions",430,Nick Chrest,Junior,"Cy-Fair (Cypress, TX)","(Cypress, TX)",DB,6,0.5,92,12
2019,"defense,interceptions",431,Dawson Muggy,Junior,"Thurston (Springfield, OR)","(Springfield, OR)","QB, DB",6,0.5,,12
2019,"defense,interceptions",432,Nyghee Lolley,Junior,"Hodgson Vo-Tech (Newark, DE)","(Newark, DE)","SB, CB",6,0.5,,12
2019,"defense,interceptions",433,Pj London,Junior,"Blue Ridge (Lakeside, AZ)","(Lakeside, AZ)","QB, FS",6,0.5,83,12
2019,"defense,interceptions",434,Chad McDonald,Senior,"Terry Sanford (Fayetteville, NC)","(Fayetteville, NC)","SS, WR",6,0.5,114,12
2019,"defense,interceptions",435,Shai Wheeler,Senior,"Independence (Charlotte, NC)","(Charlotte, NC)",WR,6,0.5,53,12
2019,"defense,interceptions",436,Adam Baerlocher,Sophomore,"Tri-Cities Prep (Pasco, WA)","(Pasco, WA)","WR, S",6,0.5,,12
2019,"defense,interceptions",437,Joey Staab,Senior,"St. Teresa (Decatur, IL)","(Decatur, IL)","FS, CB",6,0.5,60,12
2019,"defense,interceptions",438,Cody Hopkins,Senior,"Memphis University (Memphis, TN)","(Memphis, TN)","WR, DB",6,0.5,111,12
2019,"defense,interceptions",439,Michael Schnippel,Senior,"Mishawaka Marian (Mishawaka, IN)","(Mishawaka, IN)","CB, FS",6,0.5,79,12
2019,"defense,interceptions",440,Shaleak Knotts,Sophomore,Monroe (NC),(NC),"WR, FS",6,0.5,234,12
2019,"defense,interceptions",441,Dom D'amato,Junior,"Garces Memorial (Bakersfield, CA)","(Bakersfield, CA)","WR, DB",6,0.5,,12
2019,"defense,interceptions",442,Zane Schawang,Junior,Waverly (NE),(NE),"RB, OLB",6,0.5,8,12
2019,"defense,interceptions",443,Cameron Underwood,Senior,"Robichaud (Dearborn Heights, MI)","(Dearborn Heights, MI)","WR, FS",6,0.5,7,12
2019,"defense,interceptions",444,Donovan Parks,Senior,Santa Monica (CA),(CA),"CB, WR",6,0.5,,12
2019,"defense,interceptions",445,Michael Human,Junior,"Grace Christian Academy (Knoxville, TN)","(Knoxville, TN)","WR, CB",6,0.5,58,12
2019,"defense,interceptions",446,Andrew Oliver,Junior,"Lakeridge (Lake Oswego, OR)","(Lake Oswego, OR)","QB, CB",6,0.5,44,12
2019,"defense,interceptions",447,Brock Woodham,Senior,"St. James (Montgomery, AL)","(Montgomery, AL)",,6,0.5,39,12
2019,"defense,interceptions",448,Jabari Echols,Junior,"Mount St. Joseph (Baltimore, MD)","(Baltimore, MD)",CB,6,0.5,59,12
2019,"defense,interceptions",449,Owen Finley,Sophomore,"Ledford Senior (Thomasville, NC)","(Thomasville, NC)","FS, QB",6,0.5,19,12
2019,"defense,interceptions",450,Autjoe Soe,Senior,Murray (UT),(UT),"SS, CB",6,0.5,51,12
2019,"defense,interceptions",301,AJ Larson,Senior,Stanwood (WA),(WA),"WR, DB",6,0.6,,10
2019,"defense,interceptions",302,Javarous Austin,Senior,"Jefferson County (Fayette, MS)","(Fayette, MS)","WR, CB",6,0.6,20,10
2019,"defense,interceptions",303,Braden Sayles,Junior,"Martha's Vineyard Regional (Oak Bluffs, MA)","(Oak Bluffs, MA)","FS, WR",6,0.6,40,10
2019,"defense,interceptions",304,Manuel Andrade,Sophomore,Strathmore (CA),(CA),"WR, C",6,0.6,22,10
2019,"defense,interceptions",305,Dave Herard,Senior,"Stranahan (Fort Lauderdale, FL)","(Fort Lauderdale, FL)","CB, FS",6,0.6,5,10
2019,"defense,interceptions",306,Maximus Brown,Senior,"Classical Academy (Escondido, CA)","(Escondido, CA)","SS, WR",6,0.6,148,10
2019,"defense,interceptions",307,Evan Faiella,Junior,"Coginchaug Regional/East Hampton/Hale Ray (Durham, CT)","(Durham, CT)","WR, CB",6,0.6,96,10
2019,"defense,interceptions",308,Kolby Olsen,Senior,"Gunnison Valley (Gunnison, UT)","(Gunnison, UT)","WR, CB",6,0.6,24,10
2019,"defense,interceptions",309,Monte Townsend,Senior,Pontotoc (MS),(MS),"CB, FS",6,0.6,,10
2019,"defense,interceptions",310,Deonza Yoakum,Senior,Dickinson (TX),(TX),,6,0.6,143,10
2019,"defense,interceptions",311,Joshua Dallas,Sophomore,"Trinity Christian (Sharpsburg, GA)","(Sharpsburg, GA)","WR, OLB",6,0.6,135,10
2019,"defense,interceptions",312,Graham Nielsen,Senior,St. Johns (AZ),(AZ),"WR, DB",6,0.6,160,10
2019,"defense,interceptions",313,Zaier Harrison,Senior,"Cornell (Coraopolis, PA)","(Coraopolis, PA)","QB, FS",6,0.6,30,10
2019,"defense,interceptions",314,Dante Trader,Junior,"McDonogh (Owings Mills, MD)","(Owings Mills, MD)",FS,6,0.6,129,10
2019,"defense,interceptions",315,Branson Miller,Sophomore,"Knox County (Edina, MO)","(Edina, MO)","WR, CB",6,0.6,48,10
2019,"defense,interceptions",316,Carson Bullard,Senior,"Christian Heritage (Del City, OK)","(Del City, OK)","WR, CB",6,0.6,86,10
2019,"defense,interceptions",317,Gage Peterson,Sophomore,"Kelly Catholic (Beaumont, TX)","(Beaumont, TX)","WR, CB",6,0.6,68,10
2019,"defense,interceptions",318,Aidan Hoyt,Senior,"Union (Vancouver, WA)","(Vancouver, WA)","CB, WR",6,0.6,78,10
2019,"defense,interceptions",319,Caleb Gray,Junior,Russellville (AR),(AR),,6,0.6,6,10
2019,"defense,interceptions",320,Davis Burns,Senior,"Coronado (El Paso, TX)","(El Paso, TX)","FS, WR",6,0.6,58,10
2019,"defense,interceptions",321,Blake Baylor,Junior,"Cambridge/Salem (Cambridge, NY)","(Cambridge, NY)","QB, SS",6,0.6,47,10
2019,"defense,interceptions",322,Seth Rundell,Senior,Plymouth (IN),(IN),"SS, RB",6,0.6,193,10
2019,"defense,interceptions",323,Jaden Clark,Senior,"Hapeville Charter (Atlanta, GA)","(Atlanta, GA)",CB,6,0.6,222,10
2019,"defense,interceptions",324,Ashon Thompson,Junior,Pleasanton (TX),(TX),"CB, WR",6,0.6,,10
2019,"defense,interceptions",325,DeMarco Brodnax,Senior,"Rosemont (Sacramento, CA)","(Sacramento, CA)",WR,6,0.6,111,10
2019,"defense,interceptions",326,Gage Emery,Senior,Brookfield (OH),(OH),"WR, FS",6,0.6,98,10
2019,"defense,interceptions",327,Toddreis Baltimore,Senior,"Quince Orchard (Gaithersburg, MD)","(Gaithersburg, MD)","CB, FS",6,0.6,36,10
2019,"defense,interceptions",328,Braxton Sampson,Sophomore,"Northview (Brazil, IN)","(Brazil, IN)","LB, TE",6,0.6,87,10
2019,"defense,interceptions",329,Isaiah Paul,Senior,Palmdale (CA),(CA),"FS, WR",6,0.6,,10
2019,"defense,interceptions",330,Brooks Russ-martin,Junior,Travelers Rest (SC),(SC),CB,6,0.6,,10
2019,"defense,interceptions",331,Owen Sheldon,Senior,"Kelly Catholic (Beaumont, TX)","(Beaumont, TX)","WR, FS",6,0.6,125,10
2019,"defense,interceptions",332,Cody Prohaska,Senior,"North Bend Central (North Bend, NE)","(North Bend, NE)","SB, CB",6,0.6,86,10
2019,"defense,interceptions",333,Jake Jobin,Senior,Houghton Lake (MI),(MI),"RB, FS",6,0.6,63,10
2019,"defense,interceptions",334,Anthony Gilpin jr,Senior,"Olympian (Chula Vista, CA)","(Chula Vista, CA)","WR, FS",6,0.6,,10
2019,"defense,interceptions",335,Steven Stone,Junior,"Sequoia (Redwood City, CA)","(Redwood City, CA)",CB,6,0.6,3,10
2019,"defense,interceptions",336,Sharrod Alexander,Junior,"Living Word Christian (O'Fallon, MO)","(O'Fallon, MO)","CB, RB",6,0.6,136,10
2019,"defense,interceptions",337,Junior Bergen,Junior,"Billings Senior (Billings, MT)","(Billings, MT)","WR, CB",6,0.6,50,10
2019,"defense,interceptions",338,Kollin Ritchie,Freshman,Atoka (OK),(OK),"TE, SS",6,0.6,196,10
2019,"defense,interceptions",339,Jayln Marks,Senior,"City View (Wichita Falls, TX)","(Wichita Falls, TX)",ATH,6,0.6,,10
2019,"defense,interceptions",340,David Hart,Senior,"Traders Point Christian (Whitestown, IN)","(Whitestown, IN)","QB, CB",6,0.5,57,11
2019,"defense,interceptions",341,Devin Gandy,Senior,"Silverado (Victorville, CA)","(Victorville, CA)","WR, DB",6,0.5,180,11
2019,"defense,interceptions",342,Jamaul Randle,Senior,Buffalo (TX),(TX),"WR, CB",6,0.5,214,11
2019,"defense,interceptions",343,Fernando Marquez,Sophomore,Fort Morgan (CO),(CO),"WR, CB",6,0.5,,11
2019,"defense,interceptions",344,Deanza Duncan,Junior,"New Miami (Hamilton, OH)","(Hamilton, OH)","WR, CB",6,0.5,90,11
2019,"defense,interceptions",345,Malik Woodery,Senior,"Archbishop Rummel (Metairie, LA)","(Metairie, LA)",DB,6,0.5,,11
2019,"defense,interceptions",346,Jared Hosey,Sophomore,Stringer (MS),(MS),"WR, CB",6,0.5,115,11
2019,"defense,interceptions",347,Dennis Parker,Senior,Sulligent (AL),(AL),"FS, WR",6,0.5,65,11
2019,"defense,interceptions",348,Chris Mierez,Senior,"Rockville (Vernon, CT)","(Vernon, CT)","CB, WR",6,0.5,120,11
2019,"defense,interceptions",349,Justin Stinson,Senior,"Valley Christian (Chandler, AZ)","(Chandler, AZ)","CB, FS",6,0.5,,11
2019,"defense,interceptions",350,Connor Brown,Senior,Fort Gibson (OK),(OK),"WR, CB",6,0.5,17,11
2019,"defense,interceptions",251,Charles Brantley,Junior,Venice (FL),(FL),CB,7,0.5,72,13
2019,"defense,interceptions",252,Alex Ordonez,Junior,"Magnet Cove (Malvern, AR)","(Malvern, AR)","DB, WR",7,0.5,217,13
2019,"defense,interceptions",253,Jake Theroux,Senior,Simi Valley (CA),(CA),"WR, DB",7,0.5,79,13
2019,"defense,interceptions",254,Dante' Jordan,Senior,"Randolph County (Wedowee, AL)","(Wedowee, AL)","CB, RB",7,0.5,22,13
2019,"defense,interceptions",255,Kobe Holley,Senior,Stillwater (OK),(OK),"SS, FS",7,0.5,0,13
2019,"defense,interceptions",256,Juwan Lyons,Senior,"Winston-Salem Preparatory Academy (Winston-Salem, NC)","(Winston-Salem, NC)","ATH, WR",7,0.5,160,13
2019,"defense,interceptions",257,Zach Westmoreland,Senior,Joplin (MO),(MO),"WR, FS",7,0.5,126,14
2019,"defense,interceptions",258,Brett Blomquist,Junior,"Allatoona (Acworth, GA)","(Acworth, GA)","CB, FS",7,0.5,36,14
2019,"defense,interceptions",259,Ethen Cluff,Senior,"American Leadership Academy (Queen Creek, AZ)","(Queen Creek, AZ)","WR, DB",7,0.5,66,14
2019,"defense,interceptions",260,Kurron Prince,Junior,"True Divine Word Academy (St. Louis, MO)","(St. Louis, MO)","WR, DB",7,0.5,92,14
2019,"defense,interceptions",261,Jordan Adams,Senior,"Cathedral Prep (Erie, PA)","(Erie, PA)","WR, SS",7,0.5,33,14
2019,"defense,interceptions",262,Reese Smith,Senior,"Boyle County (Danville, KY)","(Danville, KY)","WR, DB",7,0.5,113,14
2019,"defense,interceptions",263,Lee Thomas,Senior,"Wagner (San Antonio, TX)","(San Antonio, TX)",,7,0.5,67,14
2019,"defense,interceptions",264,Chris Gutierrez,Senior,"Bakersfield Christian (Bakersfield, CA)","(Bakersfield, CA)","CB, WR",7,0.5,118,14
2019,"defense,interceptions",265,Dorian Strong,Senior,"Wise (Upper Marlboro, MD)","(Upper Marlboro, MD)","CB, WR",7,0.5,250,14
