file_year,category,rank,name,year,high_school,city_state,position,totaltdnum,rushingtdnum,receivingtdnum,fumblereturnedtdnum,intreturnedtdnum,puntreturnedtdnum,kickoffreturnedtdnum,tdspergame,gamesplayed
2019,"offense,touchdowns",469,Trayton Cooper,Junior,"Jurupa Hills (Fontana, CA)","(Fontana, CA)","WR, CB",25,15,10,,,,,1.9,13
2019,"offense,touchdowns",470,Justin Stubbs,Senior,"Seffner Christian (Seffner, FL)","(Seffner, FL)","RB, LB",25,24,,,1,,,1.9,13
2019,"offense,touchdowns",471,Jalen Rouse,Senior,Richmond Hill (GA),(GA),"RB, SB",25,24,1,,,,,1.9,13
2019,"offense,touchdowns",472,Luca Diamont,Senior,"Venice (Los Angeles, CA)","(Los Angeles, CA)",QB,25,24,,,,,1,1.9,13
2019,"offense,touchdowns",473,Brandon Lawton,Senior,Huntingdon (TN),(TN),"RB, WR",25,20,4,,,,1,1.9,13
2019,"offense,touchdowns",474,Trabron Russell,Senior,Manteca (CA),(CA),RB,25,25,,,,,,1.9,13
2019,"offense,touchdowns",475,Jacob Cavazos,Senior,Weslaco (TX),(TX),"QB, SB",25,25,0,,,,,1.9,13
2019,"offense,touchdowns",476,Treyvion Holly,Freshman,"Union Parish (Farmerville, LA)","(Farmerville, LA)","RB, WR",25,21,3,,,,1,1.9,13
2019,"offense,touchdowns",477,Hunter America,Senior,"Doddridge County (West Union, WV)","(West Union, WV)","RB, LB",25,25,,,,,,1.9,13
2019,"offense,touchdowns",478,Hunter Patterson,Junior,"Oak Glen (New Cumberland, WV)","(New Cumberland, WV)",SB,25,16,8,,,,1,1.9,13
2019,"offense,touchdowns",479,Hunter Herring,Junior,"Ouachita Christian (Monroe, LA)","(Monroe, LA)","QB, DE",25,25,,,,,,1.9,13
2019,"offense,touchdowns",480,Jacob Paradee,Senior,"Central A & M (Moweaqua, IL)","(Moweaqua, IL)","WR, DB",25,4,19,,,2,,1.9,13
2019,"offense,touchdowns",481,Devonte Murray,Senior,Murphy (NC),(NC),"RB, CB",25,23,2,,,,,1.9,13
2019,"offense,touchdowns",482,Kj Smith,Senior,"Heritage Academy (Columbus, MS)","(Columbus, MS)","RB, LB",25,24,1,,,,,1.9,13
2019,"offense,touchdowns",483,Kelston Fikes,Junior,Leroy (AL),(AL),"RB, DB",25,23,2,,,,,1.8,14
2019,"offense,touchdowns",484,Jahiem Covington,Senior,"Richmond (Rockingham, NC)","(Rockingham, NC)",RB,25,23,2,,,,,1.8,14
2019,"offense,touchdowns",485,Alfred Menjor,Senior,"Florida State University High School (Tallahassee, FL)","(Tallahassee, FL)","RB, FS",25,21,3,,,,,1.8,14
2019,"offense,touchdowns",486,Kyle Bures-guerrero,Freshman,Ganado (TX),(TX),QB,25,25,,,,,,1.8,14
2019,"offense,touchdowns",487,Joseph Himon,Sophomore,"Pulaski Academy (Little Rock, AR)","(Little Rock, AR)","RB, SS",25,16,5,,,,,1.8,14
2019,"offense,touchdowns",488,Willis Lane,Junior,Camden (SC),(SC),RB,25,25,0,,,,,1.8,14
2019,"offense,touchdowns",489,Tamari Jenkins,Senior,"Boerne-Champion (Boerne, TX)","(Boerne, TX)",RB,25,22,3,,,,,1.8,14
2019,"offense,touchdowns",490,Jonathon Whiteside,Junior,"True Divine Word Academy (St. Louis, MO)","(St. Louis, MO)","WR, DB",25,,21,,2,,2,1.8,14
2019,"offense,touchdowns",491,Joey Hobert,Senior,"San Juan Hills (San Juan Capistrano, CA)","(San Juan Capistrano, CA)","WR, SS",25,1,18,1,2,2,1,1.7,15
2019,"offense,touchdowns",492,Cam Wiedemann,Junior,"Shiloh Christian (Springdale, AR)","(Springdale, AR)","RB, MLB",25,23,2,,,,,1.7,15
2019,"offense,touchdowns",493,Ty Dugger,Junior,"Harding Academy (Searcy, AR)","(Searcy, AR)",WR,25,,22,,2,,1,1.7,15
2019,"offense,touchdowns",494,Dylan Farve,Senior,Richton (MS),(MS),"QB, DB",25,23,,,1,,,1.7,15
2019,"offense,touchdowns",495,Lane Thrap,Senior,"St. Bernard's (Eureka, CA)","(Eureka, CA)","WR, FS",25,1,23,,1,,,1.7,15
2019,"offense,touchdowns",496,Devin Kretchman,Senior,Meyersdale (PA),(PA),"RB, LB",24,23,,1,,,,2.4,10
2019,"offense,touchdowns",497,Mike Martin,Senior,Franklinton (LA),(LA),"RB, WR",24,22,2,,,,,2.4,10
2019,"offense,touchdowns",498,Rashod Owens,Senior,"Roosevelt (San Antonio, TX)","(San Antonio, TX)","RB, WR",24,23,1,,,,,2.4,10
2019,"offense,touchdowns",499,Trey Fabrocini,Senior,"Fisher Catholic (Lancaster, OH)","(Lancaster, OH)","RB, MLB",24,23,,,,,1,2.4,10
2019,"offense,touchdowns",500,Taveon Porter,Senior,"Bremen (Midlothian, IL)","(Midlothian, IL)","RB, DL",24,23,,,,,1,2.4,10
2019,"offense,touchdowns",101,Jordan Davis,Senior,"Sheehan (Wallingford, CT)","(Wallingford, CT)","RB, WR",35,18,14,,2,1,0,2.7,13
2019,"offense,touchdowns",102,Johnny Richardson,Senior,Lake Wales (FL),(FL),"RB, CB",35,34,0,,,,1,2.7,13
2019,"offense,touchdowns",103,Malik Sherrod,Senior,"Pacifica (Oxnard, CA)","(Oxnard, CA)","RB, FS",35,24,7,1,2,,1,2.3,15
2019,"offense,touchdowns",104,Daylen Taylor,Senior,"Indianapolis Bishop Chatard (Indianapolis, IN)","(Indianapolis, IN)","RB, MLB",35,33,2,,,,,2.3,15
2019,"offense,touchdowns",105,KD Carter,Sophomore,Noxapater (MS),(MS),"QB, FS",35,32,1,,1,1,,2.3,15
2019,"offense,touchdowns",106,Kendre Miller,Senior,Mt. Enterprise (TX),(TX),"RB, OLB",34,34,,,,,,3.4,10
2019,"offense,touchdowns",107,Kyrie Miller,Senior,"Ligonier Valley (Ligonier, PA)","(Ligonier, PA)","RB, OLB",34,31,3,,,,,3.1,11
2019,"offense,touchdowns",108,Kobe Brish,Senior,Schuylkill Haven (PA),(PA),"RB, DB",34,32,,,,1,1,3.1,11
2019,"offense,touchdowns",109,Brayden Lidgard,Senior,West Plains (MO),(MO),"RB, SB",34,28,5,,1,,,3.1,11
2019,"offense,touchdowns",110,Kyren Harrison,Senior,Arkadelphia (AR),(AR),"OLB, RB",34,32,2,0,0,0,0,2.8,12
2019,"offense,touchdowns",111,Jared Banks,Senior,"Whitmer (Toledo, OH)","(Toledo, OH)",RB,34,30,4,,,,,2.8,12
2019,"offense,touchdowns",112,Piotr Partyla,Senior,Lyndhurst (NJ),(NJ),"ATH, RB",34,34,,,,,,2.8,12
2019,"offense,touchdowns",113,Daveon Hunter,Senior,Chandler (AZ),(AZ),RB,34,33,1,,,,,2.6,13
2019,"offense,touchdowns",114,Ronde Worrels,Junior,Princeton (IL),(IL),"RB, OLB",34,33,1,,,,,2.6,13
2019,"offense,touchdowns",115,Logan Haskell,Junior,"Susquehanna Valley (Conklin, NY)","(Conklin, NY)","QB, DB",34,33,1,,,,,2.6,13
2019,"offense,touchdowns",116,Kimoni Stanley,Junior,"Sierra (Manteca, CA)","(Manteca, CA)","RB, LB",34,33,,,1,,,2.6,13
2019,"offense,touchdowns",117,Chase Ketterer,Senior,"New Prairie (New Carlisle, IN)","(New Carlisle, IN)","QB, FS",34,33,,,1,,,2.6,13
2019,"offense,touchdowns",118,Isiah Chandler,Senior,"Itawamba Agricultural (Fulton, MS)","(Fulton, MS)",RB,34,29,5,,,,,2.4,14
2019,"offense,touchdowns",119,Raef Ruel,Senior,"Palmer Ridge (Monument, CO)","(Monument, CO)","RB, QB",34,32,2,,,,,2.4,14
2019,"offense,touchdowns",120,DaMonta Witherspoon,Senior,East St. Louis (IL),(IL),"RB, SS",34,33,1,,,,,2.4,14
2019,"offense,touchdowns",121,Mark Brownlee,Senior,"Elkhart Central (Elkhart, IN)","(Elkhart, IN)","RB, LB",33,32,1,,,,,3.3,10
2019,"offense,touchdowns",122,Camron Young,Senior,"Kennedy (Richmond, CA)","(Richmond, CA)",ATH,33,9,5,,2,5,2,3.3,10
2019,"offense,touchdowns",123,Calel Aramboles,Senior,"California School for the Deaf (Fremont, CA)","(Fremont, CA)","RB, FS",33,29,3,0,0,,1,3.3,10
2019,"offense,touchdowns",124,Sean McGovern,Senior,"Ripon Christian (Ripon, CA)","(Ripon, CA)","FS, RB",33,26,6,,,,1,3.0,11
2019,"offense,touchdowns",125,Collin Smith,Senior,Mountain Pine (AR),(AR),"QB, SS",33,33,,,,,,3.0,11
2019,"offense,touchdowns",126,Ivan Robledo,Sophomore,St. Helena (CA),(CA),"RB, MLB",33,33,,0,2,,0,3.0,11
2019,"offense,touchdowns",127,Kye Johnson,Senior,"Traders Point Christian (Whitestown, IN)","(Whitestown, IN)","RB, CB",33,23,5,,2,2,1,3.0,11
2019,"offense,touchdowns",128,Christopher Weaver,Senior,"Odyssey Institute (Buckeye, AZ)","(Buckeye, AZ)","RB, S",33,32,1,,,,,3.0,11
2019,"offense,touchdowns",129,Josh Pullen,Senior,Rolesville (NC),(NC),"RB, OLB",33,32,1,,,,,3.0,11
2019,"offense,touchdowns",130,Eli Larson,Junior,St. Paul (NE),(NE),"MLB, RB",33,31,1,,,,1,2.8,12
2019,"offense,touchdowns",131,Dylan Campbell,Senior,"Strake Jesuit (Houston, TX)","(Houston, TX)",,33,29,4,,,,,2.8,12
2019,"offense,touchdowns",132,Zane Janiszewski,Junior,"Western Wayne (Lake Ariel, PA)","(Lake Ariel, PA)","RB, MLB",33,30,1,1,1,,,2.8,12
2019,"offense,touchdowns",133,Eddie Allain,Sophomore,"Norte Vista (Riverside, CA)","(Riverside, CA)","RB, SB",33,32,,,,,1,2.8,12
2019,"offense,touchdowns",134,Qwontrel Walker,Junior,Stillwater (OK),(OK),"RB, WR",33,32,1,,,,0,2.8,12
2019,"offense,touchdowns",135,Kentrel Bullock,Senior,Columbia (MS),(MS),"RB, SS",33,30,3,,,,,2.5,13
2019,"offense,touchdowns",136,Joseph Plunk,Senior,"Tascosa (Amarillo, TX)","(Amarillo, TX)","QB, FS",33,33,,,,,,2.4,14
2019,"offense,touchdowns",137,Kevorian Barnes,Junior,San Augustine (TX),(TX),"RB, SS",33,29,2,,1,,1,2.4,14
2019,"offense,touchdowns",138,Nate Boyle,Senior,Tamaqua (PA),(PA),"RB, LB",33,30,3,,,,,2.4,14
2019,"offense,touchdowns",139,Dorian Clark,Senior,"Terry Sanford (Fayetteville, NC)","(Fayetteville, NC)",RB,33,32,1,,,,,2.4,14
2019,"offense,touchdowns",140,Lex Hooper,Junior,Robbinsville (NC),(NC),RB,33,29,2,0,0,0,2,2.2,15
2019,"offense,touchdowns",141,Robert Henry,Junior,Lumberton (MS),(MS),"RB, CB",33,30,,,,2,1,2.2,15
2019,"offense,touchdowns",142,Bryce Krone,Senior,Bonner Springs (KS),(KS),"MLB, RB",32,31,1,,,,,3.2,10
2019,"offense,touchdowns",143,Christian Montes,Senior,Sudan (TX),(TX),"QB, SS",32,32,,0,1,,0,3.2,10
2019,"offense,touchdowns",144,Austin Scott,Senior,"McNairy Central (Selmer, TN)","(Selmer, TN)","RB, LB",32,26,6,,,,,3.2,10
2019,"offense,touchdowns",145,Da'wain Lofton,Junior,"North Side (Fort Worth, TX)","(Fort Worth, TX)","WR, FS",32,14,15,,,,3,3.2,10
2019,"offense,touchdowns",146,Kenny Tracy,Senior,"Decatur Central (Indianapolis, IN)","(Indianapolis, IN)","RB, SS",32,22,5,3,1,1,,2.9,11
2019,"offense,touchdowns",147,Robert Barlow jr,Senior,Dinwiddie (VA),(VA),"WR, CB",32,30,1,,,,1,2.9,11
2019,"offense,touchdowns",148,Jason Rodriguez,Junior,Queensbury (NY),(NY),"RB, DB",32,31,1,,,,,2.9,11
2019,"offense,touchdowns",149,Braeton Vann,Senior,"Boone Grove (Valparaiso, IN)","(Valparaiso, IN)","RB, CB",32,22,5,,,3,2,2.9,11
2019,"offense,touchdowns",150,Sabastian Harsh,Senior,Scottsbluff (NE),(NE),"QB, OLB",32,32,,,,,,2.9,11
2019,"offense,touchdowns",51,Elijah Burris,Senior,"Mountain Island Charter (Mt. Holly, NC)","(Mt. Holly, NC)","RB, OLB",39,38,1,,,,,3.0,13
2019,"offense,touchdowns",53,Jaxon Smith,Senior,Rockwall (TX),(TX),WR,39,4,34,,,1,,2.8,14
2019,"offense,touchdowns",54,Omarion Hampton,Sophomore,"Cleveland (Clayton, NC)","(Clayton, NC)",ATH,39,35,4,,,,,2.8,14
2019,"offense,touchdowns",55,Jt Anthony,Senior,Bremond (TX),(TX),"RB, WR",39,36,2,,1,,,2.8,14
2019,"offense,touchdowns",56,Man-man Freeman,Senior,"Phoenix Christian (Phoenix, AZ)","(Phoenix, AZ)","RB, LB",39,37,2,,,,,2.8,14
2019,"offense,touchdowns",57,Cy Shope,Senior,Pottsboro (TX),(TX),"FS, RB",39,36,3,,,,,2.4,16
2019,"offense,touchdowns",58,Campbell Speights,Senior,"McAllen Memorial (McAllen, TX)","(McAllen, TX)",RB,38,37,,,,,1,3.2,12
2019,"offense,touchdowns",59,Cael Patterson,Senior,"Orange Glen (Escondido, CA)","(Escondido, CA)","RB, FS",38,31,7,,,,,3.2,12
2019,"offense,touchdowns",60,L.J. Johnson,Junior,"Cy-Fair (Cypress, TX)","(Cypress, TX)",RB,38,37,1,,,,,3.2,12
2019,"offense,touchdowns",61,Marquez Cooper,Senior,"Quince Orchard (Gaithersburg, MD)","(Gaithersburg, MD)",RB,38,37,1,,,,,2.9,13
2019,"offense,touchdowns",62,Eli Salinas,Senior,San Saba (TX),(TX),"RB, DE",38,31,6,,,,1,2.9,13
2019,"offense,touchdowns",63,Ashton Stredick,Senior,Needville (TX),(TX),"RB, CB",38,37,1,,,,,2.9,13
2019,"offense,touchdowns",64,Jaden Shirden,Senior,"St. Joseph (Trumbull, CT)","(Trumbull, CT)",RB,38,34,3,,,,1,2.9,13
2019,"offense,touchdowns",65,Treven Smith,Senior,Blountstown (FL),(FL),"RB, S",38,22,9,1,1,2,2,2.7,14
2019,"offense,touchdowns",66,Jackson Beaman,Senior,Lincoln (MO),(MO),"QB, FS",38,38,,,,,,2.7,14
2019,"offense,touchdowns",67,Jarquez Hunter,Junior,"Neshoba Central (Philadelphia, MS)","(Philadelphia, MS)","RB, OLB",38,29,2,1,3,2,1,2.7,14
2019,"offense,touchdowns",68,Lincoln Pare,Senior,"Houston (Germantown, TN)","(Germantown, TN)","RB, SB",38,35,2,,,,1,2.7,14
2019,"offense,touchdowns",69,Jamari Chisolm,Junior,Barnwell (SC),(SC),RB,38,35,3,,,,,2.5,15
2019,"offense,touchdowns",70,Lionel Long,Senior,Reidsville (NC),(NC),"RB, ILB",38,33,5,,,,,2.5,15
2019,"offense,touchdowns",71,"Jonathan ""Jon"" Hall",Senior,"Dutch Fork (Irmo, SC)","(Irmo, SC)","RB, WR",38,38,0,,,,,2.5,15
2019,"offense,touchdowns",72,Kyle Thompson,Senior,"Hiawatha (Kirkland, IL)","(Kirkland, IL)",RB,37,32,3,,,1,1,3.7,10
2019,"offense,touchdowns",73,Dezmond Forrest,Junior,Weatherford (TX),(TX),"RB, WR",37,28,9,,,,0,3.4,11
2019,"offense,touchdowns",74,Wesley Kommer,Senior,"Thurston (Springfield, OR)","(Springfield, OR)","RB, LB",37,34,3,,,,,2.8,13
2019,"offense,touchdowns",75,Gunner Ragsdale,Senior,Decatur (TX),(TX),"RB, FS",37,29,8,,,,,2.8,13
2019,"offense,touchdowns",76,Kz Adams,Sophomore,"Gray Collegiate Academy (West Columbia, SC)","(West Columbia, SC)","RB, WR",37,28,7,,,,2,2.8,13
2019,"offense,touchdowns",77,Mitjonta Stanley,Senior,"John A. Holmes (Edenton, NC)","(Edenton, NC)","RB, DB",37,37,,,,,,2.8,13
2019,"offense,touchdowns",78,"David ""DM3"" Moore III",Senior,"Pine Creek (Colorado Springs, CO)","(Colorado Springs, CO)","RB, CB",37,36,1,,,,,2.8,13
2019,"offense,touchdowns",79,Trey Cross,Junior,"Greenwood (Midland, TX)","(Midland, TX)","RB, OLB",37,35,2,,,,,2.5,15
2019,"offense,touchdowns",80,Bobby Staley,Senior,Caruthers (CA),(CA),"RB, LB",37,36,0,,1,,,2.5,15
2019,"offense,touchdowns",81,Isaiah Creech,Senior,"Highland (Palmdale, CA)","(Palmdale, CA)","RB, SS",37,29,6,2,,,,2.3,16
2019,"offense,touchdowns",82,Matt Jones,Junior,"Jackson Prep (Jackson, MS)","(Jackson, MS)","RB, DB",36,30,5,,,,0,3.0,12
2019,"offense,touchdowns",83,Isaiah Johnson,Senior,Grants (NM),(NM),"RB, SS",36,34,0,0,1,2,0,3.0,12
2019,"offense,touchdowns",84,Aaron Dumas,Junior,"Americas (El Paso, TX)","(El Paso, TX)",RB,36,36,,,,,,3.0,12
2019,"offense,touchdowns",85,Noah Palm,Senior,"Cocalico (Denver, PA)","(Denver, PA)","QB, FS",36,33,,1,2,,,2.8,13
2019,"offense,touchdowns",86,Matthew Pemberton,Senior,"South View (Hope Mills, NC)","(Hope Mills, NC)","ATH, RB",36,31,3,,,1,1,2.8,13
2019,"offense,touchdowns",87,Noah Garcia,Junior,"Cooper (Abilene, TX)","(Abilene, TX)","RB, WR",36,33,3,,,,,2.8,13
2019,"offense,touchdowns",88,Rashad Amos,Senior,"Sandy Creek (Tyrone, GA)","(Tyrone, GA)",RB,36,30,6,,,,,2.6,14
2019,"offense,touchdowns",89,Cullen Bruner,Senior,Marceline (MO),(MO),"SB, OLB",36,33,2,,,,1,2.6,14
2019,"offense,touchdowns",90,Tyriq Lewis,Senior,"Downingtown West (Downingtown, PA)","(Downingtown, PA)","RB, CB",36,32,4,0,0,1,0,2.6,14
2019,"offense,touchdowns",91,Anderson Castle,Senior,"Watauga (Boone, NC)","(Boone, NC)","QB, FS",36,36,,,,,,2.4,15
2019,"offense,touchdowns",92,Kevin Daniels,Senior,Glendale (AZ),(AZ),"RB, WR",35,27,8,,,,,3.2,11
2019,"offense,touchdowns",93,Brian Benavides,Junior,"United South (Laredo, TX)","(Laredo, TX)",RB,35,34,1,,,,,3.2,11
2019,"offense,touchdowns",94,Jonah Coleman,Sophomore,"Lincoln (Stockton, CA)","(Stockton, CA)",RB,35,30,4,,,1,,3.2,11
2019,"offense,touchdowns",95,Tank Young,Junior,"Aquinas (Overland Park, KS)","(Overland Park, KS)",RB,35,32,3,,,,,3.2,11
2019,"offense,touchdowns",96,Jada Byers,Senior,"St. Joseph (Hammonton, NJ)","(Hammonton, NJ)","RB, DB",35,24,9,1,1,,,3.2,11
2019,"offense,touchdowns",97,Kyeandre Magloire,Senior,"Lake Minneola (Minneola, FL)","(Minneola, FL)",RB,35,34,1,,,,,2.9,12
2019,"offense,touchdowns",98,James Moore,Senior,"Stratford (Nashville, TN)","(Nashville, TN)","RB, QB",35,32,1,2,,,,2.9,12
2019,"offense,touchdowns",99,Jaden Wright,Senior,"Bethesda Academy (Savannah, GA)","(Savannah, GA)","RB, OLB",35,31,3,1,,,,2.9,12
2019,"offense,touchdowns",100,Matteo Perez,Junior,"Marin Catholic (Kentfield, CA)","(Kentfield, CA)","RB, SB",35,30,4,,,,1,2.7,13
2019,"offense,touchdowns",251,Josh Balcarcel,Senior,"Delaware Valley (Milford, PA)","(Milford, PA)",RB,29,28,,,,1,,2.4,12
2019,"offense,touchdowns",252,Evan Joubert,Junior,"St. Louis Catholic (Lake Charles, LA)","(Lake Charles, LA)",,29,28,,,,,1,2.4,12
2019,"offense,touchdowns",253,Josh Henderson,Senior,"Grace Brethren (Simi Valley, CA)","(Simi Valley, CA)","MLB, RB",29,28,1,,,,,2.4,12
2019,"offense,touchdowns",254,Colton Plunk,Junior,"East Union (Blue Springs, MS)","(Blue Springs, MS)","RB, OLB",29,20,9,,,,,2.4,12
2019,"offense,touchdowns",255,Krys Riley-Richardson,Senior,Streetsboro (OH),(OH),"RB, MLB",29,28,1,,,,,2.4,12
2019,"offense,touchdowns",256,Conner Kestler,Senior,"Calhoun (Port Lavaca, TX)","(Port Lavaca, TX)","FS, QB",29,29,,,,,,2.4,12
2019,"offense,touchdowns",257,Deanthony Gatson,Sophomore,Newton (TX),(TX),"RB, SS",29,29,0,,,,,2.4,12
2019,"offense,touchdowns",258,Nicholas Floyd,Senior,"Centennial (Corona, CA)","(Corona, CA)",RB,29,28,1,,,,,2.4,12
2019,"offense,touchdowns",259,Peyton Knaub,Senior,Weslaco (TX),(TX),"RB, WR",29,26,3,,,,,2.2,13
2019,"offense,touchdowns",260,Braylin Presley,Sophomore,Bixby (OK),(OK),"RB, FS",29,21,6,,,2,,2.2,13
2019,"offense,touchdowns",261,Nicholas Albert,Senior,"La Jolla Country Day (La Jolla, CA)","(La Jolla, CA)","RB, LB",29,7,22,,,,,2.2,13
2019,"offense,touchdowns",262,Reece Rodgers,Senior,Brownwood (TX),(TX),"WR, CB",29,28,1,,,,,2.2,13
2019,"offense,touchdowns",263,Amir Pittman-williams,Senior,"Northern Nash (Rocky Mount, NC)","(Rocky Mount, NC)","RB, MLB",29,27,2,,,,,2.2,13
2019,"offense,touchdowns",264,Jaylin Lane,Senior,Clover (SC),(SC),WR,29,0,28,,,,,2.2,13
2019,"offense,touchdowns",265,Henry Parrish jr.,Senior,"Columbus (Miami, FL)","(Miami, FL)",RB,29,26,3,,,,,2.1,14
2019,"offense,touchdowns",266,Jordan Niles,Senior,"Clearwater Central Catholic (Clearwater, FL)","(Clearwater, FL)",RB,29,27,1,,,,1,2.1,14
2019,"offense,touchdowns",267,Caleb Burke,Senior,"Richland (Johnstown, PA)","(Johnstown, PA)","ATH, FS",29,4,23,,,1,1,2.1,14
2019,"offense,touchdowns",268,Zach Hrbacek,Junior,Troy (TX),(TX),"RB, CB",29,27,2,,,,0,2.1,14
2019,"offense,touchdowns",269,Brody Hughes,Senior,"Temecula Valley (Temecula, CA)","(Temecula, CA)","FS, RB",29,27,2,,,,,2.1,14
2019,"offense,touchdowns",270,Emani Bailey,Senior,"Ryan (Denton, TX)","(Denton, TX)",RB,29,24,5,,,,,2.1,14
2019,"offense,touchdowns",271,De'Anthony Lewis,Junior,"Judson (Converse, TX)","(Converse, TX)",RB,29,27,2,,,,,2.1,14
2019,"offense,touchdowns",272,Ryan Walsh,Junior,"Andrean (Merrillville, IN)","(Merrillville, IN)","RB, OLB",29,27,1,1,,,,2.1,14
2019,"offense,touchdowns",273,Jax Miller,Senior,"Avonworth (Pittsburgh, PA)","(Pittsburgh, PA)","SS, RB",29,29,0,1,0,0,0,1.9,15
2019,"offense,touchdowns",274,Jeffery Pittman,Junior,Taylorsville (MS),(MS),"RB, LB",29,23,3,,2,1,,1.8,16
2019,"offense,touchdowns",275,Kaleb Wright,Junior,"Southeast (Ravenna, OH)","(Ravenna, OH)","RB, OLB",28,28,,,,,,2.8,10
2019,"offense,touchdowns",276,Camilo Pedraza,Senior,"Alexander (Laredo, TX)","(Laredo, TX)",RB,28,23,5,,,,,2.8,10
2019,"offense,touchdowns",277,James Ochoa,Senior,Arleta (CA),(CA),"TB, KR",28,25,2,,1,,,2.8,10
2019,"offense,touchdowns",278,Marquis Munoz,Senior,"Lafayette Jefferson (Lafayette, IN)","(Lafayette, IN)","RB, OLB",28,27,,,,,1,2.8,10
2019,"offense,touchdowns",279,James Tarver,Junior,"Maloney (Meriden, CT)","(Meriden, CT)","RB, DB",28,28,,,,,,2.5,11
2019,"offense,touchdowns",280,Cooper Cunningham,Senior,Tonganoxie (KS),(KS),"RB, SS",28,26,1,,1,,,2.5,11
2019,"offense,touchdowns",281,Jace Klucewich,Junior,Frenchtown (MT),(MT),"SB, FS",28,17,8,0,1,1,1,2.5,11
2019,"offense,touchdowns",282,Marqueise Coleman,Senior,St. Pauls (NC),(NC),RB,28,28,,,,,,2.5,11
2019,"offense,touchdowns",283,Cole Manning,Junior,Walnut Ridge (AR),(AR),"ATH, DB",28,19,7,0,0,,2,2.5,11
2019,"offense,touchdowns",284,Gary Hawkins,Senior,"Screven County (Sylvania, GA)","(Sylvania, GA)","LB, RB",28,28,,,,,,2.5,11
2019,"offense,touchdowns",285,Raymond Rodriguez,Junior,"Chaffey (Ontario, CA)","(Ontario, CA)","WR, DB",28,24,2,,,,2,2.3,12
2019,"offense,touchdowns",286,Ryan Kershaw,Junior,"La Salle (Union Gap, WA)","(Union Gap, WA)","RB, DE",28,24,4,,,,,2.3,12
2019,"offense,touchdowns",287,Garrett Stout,Senior,"Riggs (Pierre, SD)","(Pierre, SD)","WR, CB",28,23,,,1,,4,2.3,12
2019,"offense,touchdowns",288,Tyishaun Woods,Senior,"Indianapolis Scecina Memorial (Indianapolis, IN)","(Indianapolis, IN)","MLB, RB",28,24,1,,1,1,1,2.3,12
2019,"offense,touchdowns",289,Colby Sampson,Senior,Alvarado (TX),(TX),"RB, FB",28,27,1,,,,,2.3,12
2019,"offense,touchdowns",290,Tristen Hines,Senior,Milan (MI),(MI),"DB, QB",28,27,0,,,0,1,2.3,12
